3121	none	price	But the staff was so horrible to us.
2777	none	price	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
1634	none	price	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
2534	none	price	Where Gabriela personaly greets you and recommends you what to eat.
583	none	price	For those that go once and don't enjoy it, all I can say is that they just don't get it.
2846	none	price	Not only was the food outstanding, but the little 'perks' were great.
1571	negative	price	It is very overpriced and not very tasty.
1458	none	price	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
3161	none	price	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.
2391	none	price	Nevertheless the food itself is pretty good.
986	none	price	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.
296	none	price	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.
1793	none	price	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!
2200	none	price	The design and atmosphere is just as good.
3195	none	price	He has visited Thailand and is quite expert on the cuisine.
3119	none	price	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
3359	none	price	The pizza is the best if you like thin crusted pizza.
70	none	price	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
1829	none	price	He can't help, they're bought up so fast.
2935	none	price	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.
1805	none	price	i have eaten here a handful of times, for no reason besides sheer convenience.
2559	none	price	Obviously run by folks who know a pie.
716	none	price	We were very disappointed.
2464	positive	price	IT IS DEFINITELY SPECIAL AND AFFORDABLE.
385	none	price	I really liked this place.
1350	none	price	I will be going back very soon.
3534	none	price	All the money went into the interior decoration, none of it went to the chefs.
1407	none	price	The seats are uncomfortable if you are sitting against the wall on wooden benches.
565	none	price	I asked for seltzer with lime, no ice.
387	positive	price	It was pretty inexpensive too.
1314	none	price	Will not be back.
675	none	price	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.
2227	none	price	My suggestion is to eat family style because you'll want to try the other dishes.
3367	none	price	Best of all is the warm vibe, the owner is super friendly and service is fast.
1210	negative	price	This isn't a value joint.
2191	none	price	Faan's got a great concept but a little rough on the delivery.
270	none	price	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.
638	positive	price	Great food at REASONABLE prices, makes for an evening that can't be beat!
500	none	price	Look foward to trying the Ruben upon returning.
1108	none	price	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
3294	none	price	We usually go to the Chart House to celebrate a birthday or anniversary.
388	positive	price	this little place has a cute interior decor and affordable city prices.
3070	none	price	You'll adore it.
3373	positive	price	Two words: Free wine.
425	positive	price	The price is reasonable although the service is poor.
3192	none	price	The quantity is also very good, you will come out satisfied.
1098	none	price	I have been to Roth's twice and both times were very disappointing.
2173	none	price	Worth visiting the 1st Ave spot because it is the original store.
391	none	price	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.
263	none	price	Raga's is a romantic, cozy restaurant.
2384	none	price	The fried rice is amazing here.
2962	none	price	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.
3404	none	price	it's a perfect place to have a amanzing indian food.
2599	none	price	The place is so cool and the service is prompt and curtious.
673	none	price	At the end you're left with a mild broth with noodles that you can slurp out of a cup.
648	positive	price	I just wonder how you can have such a delicious meal for such little money.
863	none	price	The food was delicious but do not come here on a empty stomach.
1623	none	price	The wine list is excellent.
2177	none	price	so garantuan that you can't fit them in a toaster.
430	none	price	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).
1101	none	price	They wouldnt even let me finish my glass of wine before offering another.
1823	none	price	I highly recommend the Sophia pizza.
324	none	price	Whem asked, we had to ask more detailed questions so that we knew what the specials were.
2783	none	price	This is a consistently great place to dine for lunch or dinner.
2983	none	price	Nice atmosphere, the service was very pleasant and the desert was good.
66	none	price	All the people that I bring there go back on their own and bring THEIR friends!
627	none	price	After really enjoying ourselves at the bar we sat down at a table and had dinner.
3219	none	price	Fabulous service, fantastic food, and a chilled out atmosphere and environment.
2934	none	price	Not what I wanted to hear.
2787	none	price	Try the lasagnette appetizer.
825	negative	price	Pricey, but worth a try, at least once.
197	none	price	I've been there a few times, and I usually end up sitting next to some pretty odd people.
604	none	price	I liked the beer selection!
2911	none	price	Great food, good size menu, great service and an unpretensious setting.
3074	none	price	Go here for a romantic dinner but not for an all out wow dining experience.
1479	none	price	Can't wait to go back.
1074	none	price	I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
912	none	price	Wine list selection is good and wine-by-the-glass was generously filled to the top.
728	none	price	With the great variety on the menu , I eat here often and never get bored .
2925	none	price	The menu is very limited - i think we counted 4 or 5 entrees.
495	none	price	If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.
3436	none	price	The menu is limited but almost all of the dishes are excellent.
3273	none	price	Not too crazy about their sake martini.
1215	none	price	Great bagels, spreads and a good place to hang out in.
183	none	price	The service varys from day to day- sometimes they're very nice, and sometimes not.
2511	none	price	whoever the jazz duo was, they were on POINT.
282	none	price	One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
1562	positive	price	This place is a great bargain.
1712	none	price	We happened upon this place purely by accident and were pleased with the results.
3249	none	price	Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.
2052	none	price	Deff recimmend Bukhara they also have opened two new locations guess ill try them out.
3207	none	price	We always have a delicious meal and always leave feeling satisfied.
672	none	price	Dip the ingredients in with your chopsticks, swirl them around, and eat.
2972	none	price	First went here to enjoy their garden terrace.
1903	none	price	My husbands was perfect, my was well done and dry.
2549	none	price	Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.
1755	none	price	The pizza was pretty good and huge.
2890	none	price	Sapphire is the only Indian restaurant I go to when I'm in NYC.
2277	none	price	The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.
2308	none	price	I heartily recommend.
51	none	price	Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.
3680	none	price	I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
3155	none	price	They are often crowded on the weekends but they are efficient and accurate with their service.
1688	none	price	All my co-workers were amazed at how small the dish was.
598	none	price	The atmosphere is unheralded, the service impecible, and the food magnificant.
2926	none	price	We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.
3083	none	price	The wait staff is friendly, and the food has gotten better and better!
1388	none	price	This place, which is only a few months old, is perhaps Queens' biggest secret!
2977	none	price	It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.
1574	none	price	This place is so much fun.
498	none	price	I was glad I did.
2604	none	price	Right off the L in Brooklyn this is a nice cozy place with good pizza.
473	none	price	I've never been treated so rudely.
380	none	price	I'll be back soon.
2960	none	price	Le Pere Pinard has a $15 pre-theater menu that is outstanding.
322	none	price	Went inside and I started to get excited.
1383	none	price	I also ordered for delivery and the restaurant forgot half the order.
892	none	price	Our server checked on us maybe twice during the entire meal.
2296	none	price	However, it is jus too good to not praise it.
868	none	price	We have been to Montparnasse many times and return often for good reason.
2936	none	price	The strong scents coming from the left and right of me negatively affected my taste buds.
3423	none	price	We had the lobster sandwich and it was FANTASTIC.
154	none	price	It's somewhere you can eat and be happy.
591	none	price	If you wrote a bad review, it's because you don't understand what Rao's is all about.
1197	none	price	Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!
2061	none	price	but overall i give it a 10
2274	positive	price	Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.
2804	none	price	Deep Fried Skewers are good and still rare to find in NYC.
194	none	price	I have tried to make reservations, but both times, the hostess didn't have my name.
148	none	price	I also recommend the rice dishes or the different varieties of congee (rice porridge).
2747	none	price	Their tuna tartar appetizer is to die for.
2845	none	price	This was one of the BEST restaurants I've ever been to.
187	none	price	This restaurant used to be pretty decent.
856	none	price	An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.
2033	none	price	If you love wine and cheese and delicious french fare, you'll love Artisanal!
1402	none	price	I love Indian food and consider myself to be quite an expert on it.
439	none	price	Some baby pizzas get their wish.
3360	none	price	Plenty of choices to make your own creation.
2949	none	price	It was tiny and I felt like I was eating in someone's living room.
570	none	price	I was there on sat.
2053	none	price	Overall A oh ya even though there is waiting it is deff worth it
3316	none	price	The lava cake dessert was incredible and I recommend it.
433	none	price	VT is what baby pizzas hope to be when they grow up.
738	none	price	From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.
1549	positive	price	Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
1798	none	price	The last time I went we were seated at a table in a corridor next to the kitchen.
2941	conflict	price	good selection of wines ranging from affordable to high end.
362	none	price	Nice restaurant overall, with classic upscale Italian decor.
2921	none	price	Not impressed with the food.
1909	none	price	The entire dining experience was wonderful!
1878	none	price	The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
858	none	price	Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.
3376	none	price	Order the panang duck, it's fantastic.
173	none	price	Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.
1836	none	price	Other than the crappy service from two individuals, it's great.
1703	none	price	What more can you ask for?
3564	none	price	Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.
