3121	negative	service	But the staff was so horrible to us.
2777	none	service	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.
1634	none	service	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.
2534	positive	service	Where Gabriela personaly greets you and recommends you what to eat.
583	none	service	For those that go once and don't enjoy it, all I can say is that they just don't get it.
2846	positive	service	Not only was the food outstanding, but the little 'perks' were great.
1571	none	service	It is very overpriced and not very tasty.
1458	positive	service	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
3161	none	service	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.
2391	none	service	Nevertheless the food itself is pretty good.
986	none	service	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.
296	none	service	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.
1793	conflict	service	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!
2200	none	service	The design and atmosphere is just as good.
3195	none	service	He has visited Thailand and is quite expert on the cuisine.
3119	none	service	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
3359	none	service	The pizza is the best if you like thin crusted pizza.
70	none	service	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
1829	none	service	He can't help, they're bought up so fast.
2935	none	service	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.
1805	none	service	i have eaten here a handful of times, for no reason besides sheer convenience.
2559	positive	service	Obviously run by folks who know a pie.
716	none	service	We were very disappointed.
2464	none	service	IT IS DEFINITELY SPECIAL AND AFFORDABLE.
385	none	service	I really liked this place.
1350	none	service	I will be going back very soon.
3534	none	service	All the money went into the interior decoration, none of it went to the chefs.
1407	none	service	The seats are uncomfortable if you are sitting against the wall on wooden benches.
565	none	service	I asked for seltzer with lime, no ice.
387	none	service	It was pretty inexpensive too.
1314	none	service	Will not be back.
675	none	service	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.
2227	none	service	My suggestion is to eat family style because you'll want to try the other dishes.
3367	positive	service	Best of all is the warm vibe, the owner is super friendly and service is fast.
1210	none	service	This isn't a value joint.
2191	negative	service	Faan's got a great concept but a little rough on the delivery.
270	positive	service	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.
638	none	service	Great food at REASONABLE prices, makes for an evening that can't be beat!
500	none	service	Look foward to trying the Ruben upon returning.
1108	none	service	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
3294	none	service	We usually go to the Chart House to celebrate a birthday or anniversary.
388	none	service	this little place has a cute interior decor and affordable city prices.
3070	none	service	You'll adore it.
3373	none	service	Two words: Free wine.
425	negative	service	The price is reasonable although the service is poor.
3192	none	service	The quantity is also very good, you will come out satisfied.
1098	none	service	I have been to Roth's twice and both times were very disappointing.
2173	none	service	Worth visiting the 1st Ave spot because it is the original store.
391	none	service	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.
263	none	service	Raga's is a romantic, cozy restaurant.
2384	none	service	The fried rice is amazing here.
2962	none	service	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.
3404	none	service	it's a perfect place to have a amanzing indian food.
2599	positive	service	The place is so cool and the service is prompt and curtious.
673	none	service	At the end you're left with a mild broth with noodles that you can slurp out of a cup.
648	none	service	I just wonder how you can have such a delicious meal for such little money.
863	none	service	The food was delicious but do not come here on a empty stomach.
1623	none	service	The wine list is excellent.
2177	none	service	so garantuan that you can't fit them in a toaster.
430	none	service	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).
1101	positive	service	They wouldnt even let me finish my glass of wine before offering another.
1823	none	service	I highly recommend the Sophia pizza.
324	negative	service	Whem asked, we had to ask more detailed questions so that we knew what the specials were.
2783	none	service	This is a consistently great place to dine for lunch or dinner.
2983	positive	service	Nice atmosphere, the service was very pleasant and the desert was good.
66	none	service	All the people that I bring there go back on their own and bring THEIR friends!
627	none	service	After really enjoying ourselves at the bar we sat down at a table and had dinner.
3219	positive	service	Fabulous service, fantastic food, and a chilled out atmosphere and environment.
2934	none	service	Not what I wanted to hear.
2787	none	service	Try the lasagnette appetizer.
825	none	service	Pricey, but worth a try, at least once.
197	none	service	I've been there a few times, and I usually end up sitting next to some pretty odd people.
604	none	service	I liked the beer selection!
2911	positive	service	Great food, good size menu, great service and an unpretensious setting.
3074	none	service	Go here for a romantic dinner but not for an all out wow dining experience.
1479	none	service	Can't wait to go back.
1074	none	service	I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
912	none	service	Wine list selection is good and wine-by-the-glass was generously filled to the top.
728	none	service	With the great variety on the menu , I eat here often and never get bored .
2925	none	service	The menu is very limited - i think we counted 4 or 5 entrees.
